Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
Toyota Etios,Toyota,G,2013,58000,Petrol,16.78,1496,88.73,132,First Owner,Manual,Chennai,480000
Honda Amaze,Honda,S i-VTEC,2017,69386,Petrol,17.8,1198,86.7,109,First Owner,Manual,Chennai,535000
Toyota Corolla Altis,Toyota,G,2010,74521,Petrol,14.53,1798,138.1,173,Second Owner,Manual,Chennai,390000
Skoda Rapid,Skoda,1.5 TDI Ambition,2015,89999,Diesel,21.14,1498,103.52,250,First Owner,Manual,Chennai,630000
Toyota Camry,Toyota,2.5 Hybrid,2016,98000,Petrol,19.16,2494,157.7,213,First Owner,Automatic,Chennai,1600000
Maruti Swift Dzire,Maruti,VDi,2012,60216,Diesel,19.3,1248,73.9,190,First Owner,Manual,Chennai,450000
Maruti Swift Dzire,Maruti,VXi,2008,25500,Petrol,17.5,1298,85.8,114,First Owner,Manual,Chennai,325000
Toyota Corolla Altis,Toyota,1.8 VL AT,2010,100000,Petrol,14.53,1794,138.1,173,First Owner,Automatic,Chennai,460000
Honda Amaze,Honda,VX AT i-Vtech,2013,93302,Petrol,15.5,1198,86.7,109,First Owner,Automatic,Chennai,430000
Volkswagen Ameo,Volkswagen,1.5 TDI Highline,2017,72500,Diesel,21.66,1498,108.62,250,First Owner,Manual,Chennai,630000
Skoda Octavia,Skoda,L and K 1.9 TDI MT,2009,34000,Diesel,16.4,1896,90,21.4,First Owner,Manual,Chennai,475000
Mercedes-Benz E-Class,Mercedes,Expression E 220,2018,7000,Petrol,15,1991,194.4,300,First Owner,Automatic,Chennai,5900000
Hyundai Verna,Hyundai,1.6 SX CRDI (O) AT,2013,123400,Diesel,22.32,1582,126.32,259.8,Second Owner,Automatic,Chennai,400000
Chevrolet Aveo,Chevrolet,1.4,2007,118741,Petrol,14.49,1399,92.7,127,First Owner,Manual,Chennai,150000
Maruti Swift Dzire,Maruti,ZXI,2012,38000,Petrol,19.1,1197,85.8,114,Second Owner,Manual,Chennai,485000
BMW 3 Series,BMW,320d Luxury Line,2014,100000,Diesel,22.69,1995,190,400,Second Owner,Automatic,Chennai,1650000
Honda Amaze,Honda,S i-VTEC,2018,16000,Petrol,17.8,1198,86.7,109,First Owner,Manual,Chennai,695000
Honda City,Honda,i VTEC SV,2015,43000,Petrol,17.8,1497,117.3,145,First Owner,Manual,Chennai,725000
BMW 3 Series,BMW,GT 320d Luxury Line,2015,24000,Diesel,19.59,1995,184,380,First Owner,Automatic,Chennai,3000000
BMW 7 Series,BMW,730Ld DPE Signature,2016,54000,Diesel,16.77,2993,261.49,620,Second Owner,Automatic,Chennai,5650000
Hyundai Verna,Hyundai,1.6 SX,2013,80000,Diesel,22.32,1582,126.32,259.8,First Owner,Manual,Chennai,550000
Hyundai Verna,Hyundai,1.6 VTVT SX,2016,20000,Petrol,17.01,1591,121.3,154.9,First Owner,Manual,Chennai,795000
BMW 5 Series,BMW,520d Sedan,2012,85000,Diesel,18.48,2993,261.49,620,First Owner,Automatic,Chennai,1550000
BMW 3 Series,BMW,320d Luxury Line,2015,30000,Diesel,22.69,1995,190,400,Second Owner,Automatic,Chennai,2300000
Volkswagen Vento,Volkswagen,1.5 TDI Comfortline AT,2015,64000,Diesel,21.21,1498,103.2,250,First Owner,Automatic,Chennai,725000
Maruti Swift Dzire,Maruti,ZXI 1.2,2017,16000,Petrol,21.21,1197,81.8,113,First Owner,Manual,Chennai,675000
Ford Fiesta,Ford,Titanium 1.5 TDCi,2013,75000,Diesel,23.5,1498,90,204,Second Owner,Manual,Chennai,375000
Mercedes-Benz E-Class,Mercedes,Elegance 230,2009,65000,Petrol,0,2497,203.8,25,Second Owner,Automatic,Chennai,970000
Toyota Etios,Toyota,G,2013,55000,Petrol,16.78,1496,88.73,132,First Owner,Manual,Chennai,480000
BMW 3 Series,BMW,320d Luxury Line,2013,50000,Diesel,22.69,1995,190,400,Second Owner,Automatic,Chennai,1600000
BMW 3 Series,BMW,320d Sport,2017,37000,Diesel,22.69,1995,190,400,First Owner,Automatic,Chennai,2890000
Skoda Rapid,Skoda,1.5 TDI Ambition Plus,2015,85000,Diesel,21.14,1498,103.6,250,First Owner,Manual,Chennai,585000
Honda City,Honda,i DTEC SV,2016,68000,Diesel,26,1498,98.6,200,First Owner,Manual,Chennai,815000
Volkswagen Ameo,Volkswagen,1.2 MPI Trendline,2016,61813,Petrol,17,1198,73.75,110,First Owner,Manual,Chennai,460000
Mercedes-Benz New C-Class,Mercedes,220,2008,103000,Diesel,15.8,2148,170,42,First Owner,Manual,Chennai,860000
Honda City,Honda,1.5 V MT,2009,100921,Petrol,17,1497,118,146,Second Owner,Manual,Chennai,350000
Honda City,Honda,S,2012,92730,Petrol,16.8,1497,116.4,146,First Owner,Manual,Chennai,440000
Ford Fiesta,Ford,1.4 ZXi TDCi LE,2010,181769,Diesel,17.8,1399,68,16.3,Second Owner,Manual,Chennai,240000
Skoda Laura,Skoda,Elegance 2.0 TDI CR MT,2012,91000,Diesel,20,1968,108.5,250,First Owner,Manual,Chennai,550000
Maruti Ciaz,Maruti,Delta,2018,38000,Petrol,20.65,1462,103.25,138,First Owner,Manual,Chennai,890000
Skoda Rapid,Skoda,Monte Carlo 1.6 MPI BSIV,2017,65000,Petrol,14.3,1598,103.2,153,First Owner,Manual,Chennai,825000
Skoda Rapid,Skoda,1.6 TDI Ambition Plus Alloy,2014,49000,Diesel,20.5,1598,103.5,250,First Owner,Manual,Chennai,565000
Maruti Swift Dzire,Maruti,LDI,2018,81000,Diesel,23.4,1248,74,190,First Owner,Manual,Chennai,550000
Skoda Rapid,Skoda,1.6 TDI Ambition Plus,2012,100200,Diesel,20.5,1598,103.5,250,First Owner,Manual,Chennai,369000
Hyundai Verna,Hyundai,VTVT 1.6 AT SX Option,2018,19000,Petrol,17,1591,121.3,151,First Owner,Automatic,Chennai,1199000
Ford Fiesta,Ford,Diesel Titanium Plus,2013,78000,Diesel,23.5,1498,88.7,204,Second Owner,Manual,Chennai,373000
Volkswagen Vento,Volkswagen,1.6 MPI ALL STAR,2017,35000,Petrol,16.09,1598,103.5,153,First Owner,Manual,Chennai,730000
Maruti SX4,Maruti,VDI,2011,76000,Diesel,21.5,1248,88.8,200,First Owner,Manual,Chennai,390000
BMW 3 Series,BMW,320d Luxury Line,2018,20000,Diesel,22.69,1995,190,400,First Owner,Automatic,Chennai,3450000
Honda City,Honda,1.5 S MT,2011,77000,Petrol,17,1497,118,146,First Owner,Manual,Chennai,325000
Volkswagen Vento,Volkswagen,1.6 MPI ALL STAR,2017,35000,Petrol,16.09,1598,103.5,153,First Owner,Manual,Chennai,730000
Maruti SX4,Maruti,VDI,2011,76000,Diesel,21.5,1248,88.8,200,First Owner,Manual,Chennai,390000
Hyundai Verna,Hyundai,1.6 VTVT S,2015,66000,Petrol,17.01,1591,121.3,154.9,First Owner,Manual,Chennai,675000
BMW 5 Series,BMW,520d Sedan,2012,66000,Diesel,18.48,2993,261.49,620,Second Owner,Automatic,Chennai,1650000
Maruti Swift Dzire,Maruti,ZDi,2009,38000,Diesel,19.3,1248,73.9,190,First Owner,Manual,Chennai,450000
Maruti Swift Dzire,Maruti,VXi,2009,54000,Petrol,17.5,1298,85.8,114,First Owner,Manual,Chennai,350000
Maruti Swift Dzire,Maruti,VXI,2017,20000,Petrol,20.85,1197,83.14,115,First Owner,Manual,Chennai,660000
Maruti Ciaz,Maruti,Delta BSIV,2018,38000,Petrol,21.56,1462,103.25,138,First Owner,Manual,Chennai,885000
Honda City,Honda,S,2013,62389,Petrol,16.8,1497,116.4,146,Second Owner,Manual,Chennai,430000
Maruti Esteem,Maruti,Lxi - BSIII,2006,70000,Petrol,15.9,1298,85,110,Second Owner,Manual,Chennai,170000
Skoda Rapid,Skoda,1.6 MPI Ambition With Alloy Wheel,2015,54800,Petrol,15,1598,103.52,153,First Owner,Manual,Chennai,565000
Honda City,Honda,1.3 DX,2002,143000,Petrol,12.8,1298,119.35,145,Second Owner,Manual,Chennai,120000
Maruti Swift Dzire,Maruti,ZDi,2009,38000,Diesel,19.3,1248,73.9,190,Second Owner,Manual,Chennai,450000
Skoda Rapid,Skoda,1.6 TDI Ambition,2013,80000,Diesel,20.5,1598,103.5,250,First Owner,Manual,Chennai,525000
Audi A6,Audi,2.0 TDI,2012,100000,Diesel,17.68,1968,174.33,380,First Owner,Automatic,Chennai,1600000
Hyundai Xcent,Hyundai,1.1 CRDi SX,2014,64000,Diesel,24.4,1120,71,180.4,Second Owner,Manual,Chennai,400000
Hyundai Verna,Hyundai,CRDi 1.6 AT SX Option,2018,65000,Diesel,22,1582,126.2,259.87,First Owner,Automatic,Chennai,1025000
Honda City,Honda,i VTEC VX Option,2014,53000,Petrol,17.4,1497,117.3,145,First Owner,Manual,Chennai,675000
Maruti Swift Dzire,Maruti,VXI Optional,2017,20485,Petrol,20.85,1197,83.14,115,First Owner,Manual,Chennai,590000
Honda City,Honda,V MT,2014,90000,Petrol,16.8,1497,116.3,146,First Owner,Manual,Chennai,625000
Maruti Ciaz,Maruti,Alpha Diesel,2018,67012,Diesel,28.09,1248,88.5,200,First Owner,Manual,Chennai,825000
Volkswagen Jetta,Volkswagen,2.0L TDI Highline AT,2012,87000,Diesel,16.96,1968,138.1,320,First Owner,Automatic,Chennai,675000
Maruti SX4,Maruti,ZXI MT BSIV Leather,2011,61164,Petrol,15.5,1586,103.3,145,First Owner,Manual,Chennai,280000
Honda Amaze,Honda,VX CVT Petrol,2020,3989,Petrol,18.3,1199,88.76,110,First Owner,Automatic,Chennai,967000
Honda Amaze,Honda,S Petrol,2017,66915,Petrol,18.6,1199,88.76,110,First Owner,Manual,Chennai,535000
Maruti Swift Dzire,Maruti,LDI,2015,106346,Diesel,23.4,1248,74,190,First Owner,Manual,Chennai,560000
Volkswagen Vento,Volkswagen,Petrol Highline AT,2016,192222,Petrol,14.4,1598,103.6,153,First Owner,Automatic,Chennai,580000
Honda Amaze,Honda,VX Diesel,2020,4493,Diesel,24.7,1498,98.63,200,First Owner,Manual,Chennai,1123000
Ford Fiesta,Ford,1.4 Duratorq EXI,2011,72193,Diesel,17.8,1399,68,16.3,First Owner,Manual,Chennai,240000
Toyota Corolla,Toyota,H2,2006,71558,Petrol,13.4,1794,125,16.1,First Owner,Manual,Chennai,240000
Skoda Superb,Skoda,Elegance 2.0 TDI CR AT,2015,142944,Diesel,17.2,1968,138.03,320,First Owner,Automatic,Chennai,550000
Ford Fiesta,Ford,1.4 Duratorq ZXI,2012,98447,Diesel,17.8,1399,68,16.3,First Owner,Manual,Chennai,270000
Honda City,Honda,V MT AVN,2014,104176,Petrol,16.8,1497,116.3,146,First Owner,Manual,Chennai,550000
Honda Amaze,Honda,VX CVT Petrol,2020,4786,Petrol,18.3,1199,88.76,110,First Owner,Automatic,Chennai,973000
Ford Figo Aspire,Ford,Trend Diesel BSIV,2017,69750,Diesel,26.1,1498,99.23,215,First Owner,Manual,Chennai,500000
Hyundai Xcent,Hyundai,1.2 Kappa SX,2014,35002,Petrol,19.1,1197,82,114,First Owner,Manual,Chennai,440000
Maruti Swift Dzire,Maruti,LXI 1.2,2018,43803,Petrol,21.21,1197,81.8,113,First Owner,Manual,Chennai,620000
Honda City,Honda,1.5 V MT Exclusive,2015,38602,Petrol,17,1497,118,146,First Owner,Manual,Chennai,695000
Honda Accord,Honda,2.3 VTi L AT,2010,39940,Petrol,11.1,2354,142,20,Second Owner,Automatic,Chennai,550000
Ford Figo Aspire,Ford,1.2 Ti-VCT Titanium Plus,2020,3611,Petrol,18.16,1196,86.8,112,First Owner,Manual,Chennai,700000
Honda Accord,Honda,2.4 Elegance A/T,2008,40000,Petrol,10.2,2354,180,22.6,Second Owner,Automatic,Chennai,600000
Maruti Ciaz,Maruti,ZXi,2016,50000,Petrol,20.73,1373,91.1,130,First Owner,Manual,Chennai,700000
Honda Amaze,Honda,S i-Vtech,2014,21000,Petrol,18,1198,86.7,109,First Owner,Manual,Chennai,460000
Audi A6,Audi,35 TDI,2018,8000,Diesel,18.53,1968,187.74,400,First Owner,Automatic,Chennai,4300000
Skoda Octavia,Skoda,Elegance 1.9 TDI,2005,149000,Diesel,18.7,1896,66,320,Second Owner,Manual,Chennai,250000
BMW 7 Series,BMW,740Li,2008,144000,Petrol,8.45,2979,321,450,First Owner,Automatic,Chennai,1200000
Nissan Sunny,Nissan,Diesel XV,2012,120000,Diesel,21.64,1461,84.8,200,First Owner,Manual,Chennai,400000
Hyundai Verna,Hyundai,Transform CRDi VGT ABS,2010,110000,Diesel,16.2,1493,110,24,Second Owner,Manual,Chennai,295000
Maruti Esteem,Maruti,Lxi - BSIII,2007,70000,Petrol,15.9,1298,85,110,Second Owner,Manual,Chennai,159000
Maruti Swift Dzire Tour,Maruti,LXI,2015,120000,Petrol,19,1197,85.8,114,Second Owner,Manual,Chennai,270000
Maruti Swift Dzire,Maruti,VDI,2015,120000,Diesel,26.59,1248,74,190,First Owner,Manual,Chennai,555000
Honda City,Honda,S,2012,35000,Petrol,16.8,1497,116.4,146,Second Owner,Manual,Chennai,425000
Audi A3,Audi,40 TFSI Premium Plus,2018,48000,Petrol,16.6,1798,177.5,250,First Owner,Automatic,Chennai,2300000
BMW 3 Series,BMW,320d Luxury Line,2017,15000,Diesel,22.69,1995,190,400,First Owner,Automatic,Chennai,3000000
Honda City,Honda,V MT,2012,23000,Petrol,16.8,1497,116.3,146,First Owner,Manual,Chennai,545000
Maruti Ciaz,Maruti,ZDi,2015,60000,Diesel,26.21,1248,88.5,200,First Owner,Manual,Chennai,750000
Ford Fiesta Classic,Ford,1.4 Duratorq LXI,2011,120000,Diesel,18.6,1388,67,160,Second Owner,Manual,Chennai,300000
Ford Figo Aspire,Ford,1.5 TDCi Sports Edition,2018,17000,Diesel,24.29,1498,99,215,First Owner,Manual,Chennai,725000
Mahindra Verito,Mahindra,1.5 D2 BSIV,2012,120000,Diesel,21.03,1461,65,160,Second Owner,Manual,Chennai,250000
Hyundai Accent,Hyundai,Executive LPG,2010,125000,LPG,13.2,1495,93.7,124.5,Second Owner,Manual,Chennai,210000
Honda Civic,Honda,1.8 S MT,2007,100000,Petrol,13.5,1799,130,172,Third Owner,Manual,Chennai,160000
Ford Fiesta,Ford,1.4 SXi TDCi ABS,2008,92000,Diesel,17.8,1399,68,16.3,Third Owner,Manual,Chennai,165000
Audi A3,Audi,35 TDI Premium Plus,2015,60656,Diesel,20.38,1968,143,320,Second Owner,Automatic,Chennai,1500000
Mahindra Renault Logan,Mahindra,1.4 GLX Petrol,2008,60000,Petrol,15.7,1390,75,11,Third Owner,Manual,Chennai,125000
Maruti Swift Dzire,Maruti,VXI 1.2,2018,44100,Petrol,21.21,1197,81.8,113,First Owner,Manual,Chennai,620000
Ford Ikon,Ford,1.6 ZXI,2003,100000,Petrol,14.2,1597,92,130,Third Owner,Manual,Chennai,110000
Honda City,Honda,i DTec V,2016,60000,Diesel,26,1498,98.6,200,First Owner,Manual,Chennai,800000
Ambassador,Ambassador,Classic 2000 DSZ AC PS,1989,70000,Diesel,12.8,1995,52,106,Second Owner,Manual,Chennai,90000
Maruti Swift Dzire,Maruti,LDI,2019,70000,Diesel,28.4,1248,74.02,190,Second Owner,Manual,Chennai,450000
Maruti Ciaz,Maruti,ZDi Plus SHVS,2016,60000,Diesel,28.09,1248,88.5,200,First Owner,Manual,Chennai,750000
Audi A5,Audi,Sportback,2017,21000,Diesel,19.2,1968,187.74,400,First Owner,Automatic,Chennai,3975000
Honda Civic,Honda,VX,2019,4650,Petrol,16.5,1799,139.46,174,First Owner,Automatic,Chennai,1750000
Mahindra Renault Logan,Mahindra,1.5 DLE Diesel,2009,178587,Diesel,19.2,1461,65,16,First Owner,Manual,Chennai,100000
Audi A4,Audi,New 2.0 TDI Multitronic,2011,68500,Diesel,15.2,1968,140.8,320,Third Owner,Automatic,Chennai,1300000
Maruti Swift Dzire,Maruti,ZXI,2015,45200,Petrol,20.85,1197,83.14,115,First Owner,Manual,Chennai,510000
Honda City,Honda,1.5 V MT,2009,150000,Petrol,17,1497,118,146,First Owner,Manual,Chennai,290000
Hyundai Accent,Hyundai,GLE,2008,40000,Petrol,13.2,1495,94,12.5,Second Owner,Manual,Chennai,150000
Maruti Swift Dzire,Maruti,VXI 1.2,2019,25000,Petrol,21.21,1197,81.8,113,First Owner,Manual,Chennai,670000
Ford Classic,Ford,1.4 Duratorq LXI,2013,196000,Diesel,19.68,1399,67,160,Second Owner,Manual,Chennai,210000
Ford Figo Aspire,Ford,1.5 TDCi Titanium Plus,2017,25000,Diesel,25.83,1498,99,215,First Owner,Manual,Chennai,725000
Mercedes-Benz New C-Class,Mercedes,Progressive C 220d,2019,30000,Diesel,12.6,1950,194,400,First Owner,Automatic,Chennai,3900000
Volkswagen Ameo,Volkswagen,1.5 TDI Highline AT 16 Alloy,2017,31492,Diesel,22,1498,108.495,250,First Owner,Automatic,Chennai,675000
Volkswagen Ameo,Volkswagen,1.2 MPI Comfortline,2017,8366,Petrol,17,1198,73.75,110,First Owner,Manual,Chennai,550000
Honda Amaze,Honda,S Diesel,2013,98821,Diesel,24.7,1498,98.63,200,First Owner,Manual,Chennai,350000
Tata Indigo,Tata,LX,2008,115508,Diesel,17,1405,70,13.5,First Owner,Manual,Chennai,125000
Ford Fiesta,Ford,1.6 ZXi ABS,2010,59434,Petrol,15.3,1596,101,14.9,First Owner,Manual,Chennai,250000
Mahindra Verito,Mahindra,1.4 G4 BSIV,2012,48746,Petrol,13.87,1390,73.9,110,First Owner,Manual,Chennai,250000
Honda Amaze,Honda,VX Petrol,2015,60577,Petrol,18.6,1199,88.76,110,First Owner,Manual,Chennai,490000
Ford Fiesta,Ford,1.4 SXi TDCi,2008,115800,Diesel,17.8,1399,0,5,Second Owner,Manual,Chennai,210000
Ford Fiesta,Ford,1.4 Duratec ZXI,2007,52065,Petrol,16.6,1388,68,16.3,Second Owner,Manual,Chennai,170000
Hyundai Xcent,Hyundai,1.2 VTVT S,2015,71300,Petrol,20.14,1197,81.86,113.75,First Owner,Manual,Chennai,390000
Honda City,Honda,1.5 S MT,2018,53093,Petrol,17,1497,118,146,First Owner,Manual,Chennai,750000
Hyundai Xcent,Hyundai,1.1 CRDi SX,2018,26980,Diesel,24.4,1120,71,180.4,First Owner,Manual,Chennai,530000
Honda Amaze,Honda,VX AT i-Vtech,2013,77242,Petrol,15.5,1198,86.7,109,First Owner,Automatic,Chennai,375000
Maruti Swift Dzire Tour,Maruti,LXI,2017,26421,Petrol,19,1197,85.8,114,Second Owner,Manual,Chennai,530000
Honda Amaze,Honda,S AT i-Vtech,2013,91552,Petrol,15.5,1198,86.7,109,Second Owner,Automatic,Chennai,340000
Honda Amaze,Honda,S CVT Petrol BSIV,2016,15203,Petrol,19,1199,88.76,110,First Owner,Automatic,Chennai,600000
Hyundai Verna,Hyundai,1.6 SX VTVT (O) AT,2017,25851,Petrol,17.1,1591,121.4,154.9,First Owner,Automatic,Chennai,740000
Hyundai Xcent,Hyundai,1.2 VTVT S,2014,50428,Petrol,20.14,1197,81.86,113.75,First Owner,Manual,Chennai,410000
Honda Amaze,Honda,S Diesel,2014,93801,Diesel,24.7,1498,98.63,200,First Owner,Manual,Chennai,410000
Ford Figo Aspire,Ford,Titanium Plus Diesel,2020,2310,Diesel,24.4,1499,98.96,215,First Owner,Manual,Chennai,829000
Skoda Superb,Skoda,LK 2.0 TDI AT,2019,14000,Diesel,18.19,1968,174.5,350,First Owner,Automatic,Chennai,3150000
Ford Classic,Ford,1.4 Duratorq Titanium,2010,165105,Diesel,19.68,1399,67,160,First Owner,Manual,Chennai,180000
Ford Fiesta,Ford,1.4 Duratorq ZXI,2012,97582,Diesel,17.8,1399,68,16.3,Second Owner,Manual,Chennai,220000
Chevrolet Sail,Chevrolet,1.2 Base,2011,83365,Petrol,18.2,1199,82.4,108.5,First Owner,Manual,Chennai,170000
Ford Fiesta,Ford,1.4 Duratec EXI Limited Edition,2010,90000,Petrol,16.6,1388,68,16.3,First Owner,Manual,Chennai,175000
Maruti Swift Dzire,Maruti,VDI,2017,34000,Diesel,28.4,1248,74.02,190,First Owner,Manual,Chennai,650000
Ford Classic,Ford,1.4 Duratorq CLXI,2013,150000,Diesel,19.68,1399,67,160,First Owner,Manual,Chennai,300000
Maruti Swift Dzire Tour,Maruti,1.2 S STD CNG,2018,110000,CNG,26.55,1197,70.4,95,First Owner,Manual,Chennai,500000
Ford Fiesta Classic,Ford,1.6 Duratec CLXI,2007,50000,Petrol,15.3,1596,99.6,146,Third Owner,Manual,Chennai,180000
Hyundai Verna,Hyundai,XXi (Petrol),2008,80000,Petrol,13.9,1599,103.2,14.9,Second Owner,Manual,Chennai,160000
Hyundai Verna,Hyundai,VTVT 1.6 SX,2018,14800,Petrol,17,1591,121.3,151,First Owner,Manual,Chennai,845000
Ford Fiesta,Ford,1.6 ZXi Duratec,2006,90000,Petrol,15.3,1596,101,14.9,Second Owner,Manual,Chennai,150000
BMW 5 Series,BMW,520d,2010,90000,Diesel,18.48,1995,177,35.7,Third Owner,Automatic,Chennai,750000
Maruti Ciaz,Maruti,Alpha BSIV,2019,12800,Petrol,21.56,1462,103.25,138,First Owner,Manual,Chennai,875000
Honda City,Honda,i-VTEC CVT V,2018,15000,Petrol,18,1497,117.6,145,First Owner,Automatic,Chennai,999000
Maruti Swift Dzire,Maruti,Vdi BSIV,2011,90000,Diesel,19.3,1248,73.9,190,First Owner,Manual,Chennai,340000
Maruti Swift Dzire,Maruti,ZXI,2013,70000,Petrol,19.1,1197,85.8,114,Second Owner,Manual,Chennai,420000
Ford Fiesta,Ford,Titanium 1.5 TDCi,2013,55000,Diesel,23.5,1498,90,204,First Owner,Manual,Chennai,460000
Skoda Octavia,Skoda,Style Plus 1.8 TSI AT,2016,25300,Petrol,14.7,1798,177.5,250,First Owner,Automatic,Chennai,1400000
BMW 5 Series,BMW,520d Luxury Line,2017,34000,Diesel,18.12,1995,190,400,First Owner,Automatic,Chennai,3600000
Hyundai Verna,Hyundai,1.6 SX,2013,80000,Diesel,22.32,1582,126.32,259.8,Second Owner,Manual,Chennai,490000
Maruti Swift Dzire Tour,Maruti,S,2018,50000,CNG,19,1197,85.8,114,First Owner,Manual,Chennai,535000
Nissan Sunny,Nissan,XV,2013,135000,Petrol,16.95,1498,97.7,134,First Owner,Manual,Chennai,425000
Renault Duster,Renault,85PS Diesel RxS,2019,16000,Diesel,19.87,1461,83.8,200,First Owner,Manual,Chennai,1090000
Ford Ecosport,Ford,1.5 DV5 MT Titanium,2013,75291,Diesel,22.7,1498,89.84,204,First Owner,Manual,Chennai,520000
Hyundai Creta,Hyundai,1.6 CRDi SX,2016,69000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,1090000
Maruti Ertiga,Maruti,ZDI,2016,63000,Diesel,25.47,1248,88.5,200,First Owner,Manual,Chennai,850000
Ford Ecosport,Ford,1.5 DV5 MT Titanium,2014,58000,Diesel,22.7,1498,89.84,204,Second Owner,Manual,Chennai,635000
Hyundai Creta,Hyundai,1.6 CRDi SX Option,2016,44000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,1145000
Honda WR-V,Honda,i-VTEC S,2017,32000,Petrol,17.5,1199,88.7,110,First Owner,Manual,Chennai,700000
Toyota Innova Crysta,Toyota,2.4 VX MT,2017,39000,Diesel,13.68,2393,147.51,343,First Owner,Manual,Chennai,1900000
Hyundai Creta,Hyundai,1.6 CRDi SX Plus,2017,66000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,1150000
BMW 7 Series,BMW,730Ld,2015,40000,Diesel,16.46,2993,258,560,Second Owner,Automatic,Chennai,3800000
Tata Nexon,Tata,1.5 Revotorq XE,2017,48000,Diesel,21.5,1497,108.5,260,First Owner,Manual,Chennai,695000
Honda WR-V,Honda,i-DTEC VX,2017,43000,Diesel,25.5,1498,98.6,200,First Owner,Manual,Chennai,875000
Hyundai Creta,Hyundai,1.6 CRDi SX Plus,2016,100000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,900000
Land Rover Range Rover Evoque,Land Rover,HSE Dynamic,2015,42000,Diesel,12.7,2179,187.7,420,First Owner,Automatic,Chennai,3200000
Toyota Fortuner,Toyota,3.0 Diesel,2010,185000,Diesel,11.5,2982,171,343,First Owner,Manual,Chennai,1125000
Maruti Ertiga,Maruti,ZXI Plus,2016,27000,Petrol,19.01,1462,103.26,138,First Owner,Manual,Chennai,730000
Renault Triber,Renault,RXT,2019,24000,Petrol,20,999,71,96,First Owner,Manual,Chennai,650000
Ford Ecosport,Ford,1.0 Ecoboost Titanium Plus BSIV,2017,17000,Petrol,18.88,999,123.24,170,First Owner,Manual,Chennai,720000
Ford Endeavour,Ford,2.2 Titanium AT 4X2,2017,41000,Diesel,12.62,2198,158,385,First Owner,Automatic,Chennai,2340000
Toyota Innova Crysta,Toyota,2.4 ZX AT,2020,2500,Diesel,13.68,2393,147.51,360,First Owner,Automatic,Chennai,2800000
BMW 3 Series,BMW,320d Edition Sport,2018,20000,Diesel,22.69,1995,187.74,400,First Owner,Automatic,Chennai,3450000
Toyota Innova,Toyota,2.5 V Diesel 8-seater,2008,170000,Diesel,12.8,2494,102,20.4,First Owner,Manual,Chennai,745000
Honda WR-V,Honda,i-VTEC S,2017,40000,Petrol,17.5,1199,88.7,110,First Owner,Manual,Chennai,725000
Hyundai Creta,Hyundai,1.6 CRDi SX Plus,2016,100000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,890000
Mahindra XUV500,Mahindra,W11 BSIV,2019,35000,Diesel,15.1,2179,152.87,360,First Owner,Manual,Chennai,1875000
Ford Ecosport,Ford,1.5 Diesel Trend,2018,28000,Diesel,21.7,1498,98.96,215,First Owner,Manual,Chennai,835000
Renault Triber,Renault,RXZ BSIV,2020,9000,Petrol,20,999,72,96,First Owner,Manual,Chennai,750000
Hyundai Santa Fe,Hyundai,4X2,2012,103000,Diesel,14.66,2199,194.3,420.7,First Owner,Manual,Chennai,670000
Toyota Innova,Toyota,2.5 G (Diesel) 7 Seater BS IV,2014,93534,Diesel,12.99,2494,100.6,200,First Owner,Manual,Chennai,1200000
Hyundai Creta,Hyundai,1.6 SX Option Diesel,2018,79900,Diesel,20.5,1582,126.2,259.87,First Owner,Manual,Chennai,1250000
Hyundai Creta,Hyundai,1.6 EX Petrol,2018,39000,Petrol,15.8,1591,121.3,151,First Owner,Manual,Chennai,860000
Hyundai Creta,Hyundai,1.6 CRDi SX Plus,2017,66000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Chennai,1150000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus AT,2018,14203,Petrol,14.7,1496,120.69,149,First Owner,Automatic,Chennai,970000
Ford Ecosport,Ford,1.5 Petrol Titanium Plus BSIV,2018,20000,Petrol,17,1497,121.36,150,First Owner,Manual,Chennai,1090000
Ford Endeavour,Ford,3.2 Trend AT 4X4,2017,60000,Diesel,10.91,3198,197.2,470,First Owner,Automatic,Chennai,2300000
Mahindra TUV 300,Mahindra,mHAWK100 T8 AMT,2016,38000,Diesel,18.49,1493,100,240,First Owner,Automatic,Chennai,875000
Toyota Innova Crysta,Toyota,2.4 ZX MT,2016,108666,Diesel,13.68,2393,147.51,343,First Owner,Manual,Chennai,1680000
Maruti Ertiga,Maruti,1.5 VDI,2018,11000,Diesel,24.2,1498,93.87,225,First Owner,Manual,Chennai,935000
Toyota Fortuner,Toyota,2.8 2WD MT BSIV,2017,72000,Diesel,14.24,2755,174.5,420,First Owner,Manual,Chennai,2698000
Jaguar XF,Jaguar,3.0 Litre S Premium Luxury,2012,59000,Diesel,14.74,2993,270.9,600,Second Owner,Automatic,Chennai,2100000
