Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
Maruti Swift Dzire,Maruti,VXI,2020,35000,Petrol,23.26,1197,88.5,113,First Owner,Manual,Goa,750000
Ford Fiesta,Ford,Petrol Titanium,2012,40000,Petrol,17,1499,109,140,First Owner,Manual,Goa,400000
Maruti Omni,Maruti,8 Seater BSII,2009,35000,Petrol,19.7,796,35,62,First Owner,Manual,Goa,100000
Honda Amaze,Honda,VX i-DTEC,2014,120000,Diesel,25.8,1498,98.6,200,First Owner,Manual,Goa,400000
Honda Jazz,Honda,1.2 SV i VTEC,2017,40000,Petrol,18.7,1199,88.7,110,Second Owner,Manual,Goa,650000
Tata Hexa,Tata,XM,2018,15000,Diesel,17.6,2179,153.86,400,First Owner,Manual,Patna,1250000
Ford Ecosport,Ford,1.5 Diesel Titanium BSIV,2018,45000,Diesel,23,1498,98.96,205,Fourth & Above Owner,Manual,Patna,800000
Maruti Wagon R,Maruti,LXI Minor,2008,60000,Petrol,18.9,1061,67,84,Second Owner,Manual,Patna,150000
Maruti SX4 S Cross,Maruti,Zeta DDiS 200 SH,2018,30000,Diesel,25.1,1248,88.5,200,First Owner,Manual,Patna,812000
Ford Ecosport,Ford,1.5 Diesel Titanium BSIV,2017,40000,Diesel,23,1498,98.96,205,First Owner,Manual,Patna,750000
Mahindra Scorpio,Mahindra,M2DI,2012,142000,Diesel,13.5,2179,115,277.5,First Owner,Manual,Patna,520000
Renault Duster,Renault,85PS Diesel RxE,2014,40000,Diesel,20.45,1461,83.8,200,First Owner,Manual,Patna,449000
Mahindra Scorpio,Mahindra,VLX 2WD AIRBAG AT BSIV,2012,58042,Diesel,12.05,2179,120,290,First Owner,Manual,Patna,850000
Mahindra XUV500,Mahindra,W6 2WD,2014,120000,Diesel,15.1,2179,140,330,First Owner,Manual,Patna,651000
Maruti Baleno,Maruti,Sigma,2018,28000,Petrol,21.01,1197,81.8,113,First Owner,Manual,Patna,575000
Maruti Alto K10,Maruti,2010-2014 VXI,2012,68000,Petrol,20.92,998,67.1,90,First Owner,Manual,Patna,195000
Mahindra Scorpio,Mahindra,S3 Plus,2018,52000,Diesel,12.05,2179,120,280,First Owner,Manual,Patna,1040000
Mahindra Scorpio,Mahindra,SLE 7S BSIII,2012,60000,Diesel,12.05,2179,120,290,Second Owner,Manual,Patna,590000
Hyundai i20 Active,Hyundai,1.4 SX,2017,37136,Diesel,21.19,1396,88.73,220,First Owner,Manual,Patna,680000
Mahindra Scorpio,Mahindra,1.99 S10,2016,42000,Diesel,15.4,1997,120,280,First Owner,Manual,Patna,1075000
Mahindra Scorpio,Mahindra,S6 Plus 7 Seater,2017,52000,Diesel,15.4,2179,120,280,First Owner,Manual,Patna,1050000
Mahindra Scorpio,Mahindra,S2 7 Seater,2017,39000,Diesel,15.4,2523,75,200,First Owner,Manual,Patna,955000
Mahindra Scorpio,Mahindra,S6 Plus 7 Seater,2016,48000,Diesel,15.4,2179,120,280,First Owner,Manual,Patna,1025000
Chevrolet Tavera,Chevrolet,2 LS B4 7 Str BSIII,2008,52000,Diesel,14.8,2499,80,19,Second Owner,Manual,Patna,325000
Mahindra Scorpio,Mahindra,S6 Plus 7 Seater,2017,48000,Diesel,15.4,2179,120,280,First Owner,Manual,Patna,1050000
Tata Safari Storme,Tata,EX,2017,52000,Diesel,14.1,2179,147.94,320,First Owner,Manual,Patna,850000
Volkswagen Polo,Volkswagen,1.5 TDI Highline,2014,45238,Diesel,20.14,1498,88.8,230,First Owner,Manual,Patna,430000
Mahindra Scorpio,Mahindra,EX,2014,50356,Diesel,14,2523,75,200,Second Owner,Manual,Patna,591000
Maruti Swift Dzire,Maruti,VDI,2016,32452,Diesel,26.59,1248,74,190,Second Owner,Manual,Patna,525000
Maruti Ertiga,Maruti,VDI,2015,42000,Diesel,25.47,1248,88.5,200,First Owner,Manual,Patna,650000
Mahindra Scorpio,Mahindra,SLE 7S BSIV,2012,69653,Diesel,12.05,2179,120,290,Second Owner,Manual,Patna,551000
Honda Amaze,Honda,SX i DTEC,2017,36000,Diesel,25.8,1498,98.6,200,First Owner,Manual,Patna,590000
Maruti Wagon R,Maruti,LXI Minor,2008,60000,Petrol,18.9,1061,67,84,Second Owner,Manual,Patna,150000
Maruti SX4 S Cross,Maruti,Zeta DDiS 200 SH,2018,30000,Diesel,25.1,1248,88.5,200,First Owner,Manual,Patna,812000
Maruti Vitara Brezza,Maruti,ZDi Plus Dual Tone,2017,24000,Diesel,24.3,1248,88.5,200,First Owner,Manual,Patna,875000
